words,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221
0,,11,1,1
1,,112,103,49,25,11,4,7,4,3,,,5,,,,,,,,,,,,,,1
2,,330,257,124,84,49,44,26,30,19,15,8,11,13,6,5,3,4,3,1,1,1,,1,2,2,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
3,,741,791,324,236,180,144,116,102,88,81,41,33,39,27,26,18,25,14,17,7,8,4,8,3,6,5,,4,2,1,1,,3,,,2,,,1,,1,,,,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1
4,,1153,863,571,443,399,342,239,229,179,141,109,108,80,67,44,48,39,23,17,26,19,14,16,7,8,9,12,11,13,5,4,7,2,3,9,6,2,5,,1,2,3,,,,1,1,,1,1,,1,,1,1,,2,1,1,,1,1,,1,,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
5,,1463,991,649,522,405,345,299,200,180,141,123,102,78,60,57,41,29,29,27,26,23,17,11,11,6,8,9,5,2,4,1,1,7,2,3,1,4,2,3,,,5,,2,2,2,2,1,1,,,1,1,,,,1,1,1,,,1,,,,,1,,,,1,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
6,,1282,929,592,440,287,238,202,152,125,101,87,50,59,49,36,32,29,13,7,18,13,8,7,14,5,7,3,3,6,3,1,1,,,1,4,2,3,3,2,,,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,,946,720,452,326,287,202,162,155,125,125,75,66,46,35,37,20,20,14,17,15,12,8,4,5,3,3,8,4,2,2,2,6,2,3,,2,,,2,2,2,,,1,,,1,,,1,,1,1,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,,370,284,264,186,126,105,107,100,68,43,44,35,32,18,17,6,12,4,6,3,4,5,2,2,1,2,2,1,2,,4,,1,2,,,1,,1,1,,2,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,,199,145,68,52,39,28,27,19,17,8,12,17,5,10,7,2,3,,2,2,2,3,2,2,1,3,,,1,2,,,,2,,,1,,,,,,,,,,,1
10,,54,26,25,18,10,3,5,3,3,3,4,1,1,2,2,,,1,1,,2,1,1,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,,7,3,2,3,4,1,2,2,1,1,,,,,1
12,,1,2,1
